variant,n_samples,ckpt_step,guidance_scale,num_inference_steps,CLR_uterus,CLR_ov_L,CLR_ov_R,CLR_em,CLR_area_frac_uterus,CLR_area_frac_ov_L,CLR_area_frac_ov_R,CLR_area_frac_em,CLR_enrichment_uterus,CLR_enrichment_ov_L,CLR_enrichment_ov_R,CLR_enrichment_em,AILM_outside_body,AILM_uterus,AILM_ov_L,AILM_ov_R,AILM_em,AILM_body_other,sparsity_mean,OSI_max_organ_corr,OSI_body_corr
exp1a_ddpm_concat,4,80000,3.0,100,0.013057000702247024,0.042606002651154995,nan,0.027659837622195482,0.0071780254000232396,0.0005110225861049596,0.00034555550322445044,0.00043532604307640257,1.8190240316236204,83.37401087474457,nan,63.53821018087126,1.000000074505806,0.9999999701976776,1.0000000596046448,nan,1.0000000298023224,1.0000000894069672,0.8852042896557043,nan,nan
exp1b_ddpm_spade,4,80000,2.0,100,0.4072449207305908,0.49450985342264175,nan,0.53208789229393,0.0071780254000232396,0.0005110225861049596,0.00034555550322445044,0.00043532604307640257,56.73495119274339,967.6868828671963,nan,1222.2744325924584,1.0000000447034836,1.0000000596046448,0.9999999850988388,nan,1.0000000149011612,0.9999999850988388,0.91648606798104,0.2418255093456643,-0.010765978548663296
exp1c_concat,4,100000,3.0,100,0.06878785323351622,0.08022632915526628,nan,0.062970913015306,0.0071780254000232396,0.0005110225861049596,0.00034555550322445044,0.00043532604307640257,9.583116442203382,156.99174818623084,nan,144.65229916018185,0.9999999552965164,0.9999999701976776,0.9999999552965164,nan,0.9999999850988388,1.0000000298023224,0.8844983109283522,nan,nan
exp1c_spade,4,100000,2.0,100,0.4050808995962143,0.29650718718767166,nan,0.4199591428041458,0.0071780254000232396,0.0005110225861049596,0.00034555550322445044,0.00043532604307640257,56.43347258076055,580.2232528461504,nan,964.7002504980852,0.999999925494194,1.0000000894069672,1.0000000447034836,nan,1.0,0.9999999701976776,0.9189382487193075,0.25844412440348674,0.029397424963574573
exp1c_concat_fixed,4,100000,3.0,100,0.3451986163854599,0.14396553114056587,nan,0.04288377379998565,0.017638206481933594,0.03822612762451172,0.0,0.05394554138183594,48.0910274271727,281.7204856597016,nan,98.50955274104578,1.0,0.9999999850988388,0.9999999701976776,nan,0.9999998807907104,1.0000000298023224,0.8849229870774952,nan,nan
exp1c_spade_fixed,4,100000,2.0,100,0.6283139288425446,0.8895858824253082,nan,0.8424972742795944,0.017638206481933594,0.03822612762451172,0.0,0.05394554138183594,87.5329765258995,1740.7956255041045,nan,1935.3247702015628,1.0,1.0000000149011612,0.9999999850988388,nan,0.9999999701976776,1.0,0.9184318918803125,0.3100312620554806,0.1594345542238397
exp2_fixed,4,100000,2.0,100,nan,nan,nan,0.29694726318120956,0.0,0.0,0.0,0.11210823059082031,nan,nan,nan,682.1261165142224,1.0000000298023224,nan,nan,nan,1.0000000596046448,1.0,0.8384755860317271,-0.05978700707022548,0.03221966123697451
exp2_lam05_fixed,4,100000,2.0,100,nan,nan,nan,0.25376325100660324,0.0,0.0,0.0,0.11210823059082031,nan,nan,nan,582.9268775497222,1.0000000596046448,nan,nan,nan,1.0000000298023224,1.0000000149011612,0.8611756102159922,-0.014440718492693532,-0.09282318842198223
exp2_lam50_fixed,4,100000,2.0,100,nan,nan,nan,0.05830674711614847,0.0,0.0,0.0,0.11210823059082031,nan,nan,nan,133.9381092481877,0.9999999105930328,nan,nan,nan,0.9999999850988388,1.0000000596046448,0.8878990468291423,0.06936658280801991,-0.04925993371289298
