variant,seed,subject_id,dsc,hd95_mm,gt_ovary_voxels,pred_ovary_voxels,sensitivity,precision
raov_aug_exp2_lam05_fixed,0,D2-017,0.19002138275124733,13.178557240801208,11415,2615,0.11677617170389838,0.5097514340344168
raov_aug_exp2_lam05_fixed,0,D2-023,0.0,92.52482166929386,8681,32029,0.0,0.0
raov_aug_exp2_lam05_fixed,0,D2-024,0.7403905678428724,12.0,10107,7662,0.6508360542198476,0.8585225789611067
raov_aug_exp2_lam05_fixed,0,D2-026,0.0,83.93463437370384,10640,42937,0.0,0.0
raov_aug_exp2_lam05_fixed,0,D2-038,0.5974360219492061,13.892443989449804,17971,23215,0.6846029714540093,0.5299590781822098
raovseg_real_only,4,D2-005,0.0,72.63788267065823,5542,27382,0.0,0.0
raovseg_real_only,4,D2-015,0.2355421320414327,25.21953607820731,6653,42680,0.8732902450022546,0.13612933458294282
raovseg_real_only,4,D2-016,0.13451763069185083,15.716949449559223,16035,2654,0.07839101964452759,0.4736247174076865
raovseg_real_only,4,D2-017,0.45096927785965313,40.21819774524325,11415,15048,0.5227332457293036,0.3965311004784689
raovseg_real_only,4,D2-023,0.0,91.75153949558523,8681,30999,0.0,0.0
raovseg_real_only,4,D2-024,0.0,nan,10107,0,0.0,nan
raovseg_real_only,4,D2-026,0.0,96.00442698125956,10640,44676,0.0,0.0
raovseg_real_only,4,D2-038,0.0,30.0,17971,2805,0.0,0.0
raov_aug_exp2_lam05_fixed,2,D2-005,0.0,82.12717606836236,5542,2698,0.0,0.0
raov_aug_exp2_lam05_fixed,2,D2-015,0.0,50.89963162931535,6653,4493,0.0,0.0
raov_aug_exp2_lam05_fixed,2,D2-016,0.6470909587544387,10.205219035518752,16035,13253,0.5909572809479264,0.7150079227344752
raov_aug_exp2_lam05_fixed,2,D2-017,0.16319270746484354,22.939119450747928,11415,6576,0.12860271572492335,0.2232360097323601
raov_aug_exp2_lam05_fixed,2,D2-023,0.0,95.89242409956033,8681,10917,0.0,0.0
raov_aug_exp2_lam05_fixed,2,D2-024,0.0,nan,10107,0,0.0,nan
raov_aug_exp2_lam05_fixed,2,D2-026,0.0,71.12305883121273,10640,16702,0.0,0.0
raov_aug_exp2_lam05_fixed,2,D2-038,0.0,32.00144527986197,17971,237,0.0,0.0
raov_aug_exp1c_concat_fixed,1,D2-005,0.0,103.33182712215071,5542,36551,0.0,0.0
raov_aug_exp1c_concat_fixed,1,D2-015,0.08330880792843601,71.18740055999969,6653,139454,0.9147752893431534,0.04364163093206362
raov_aug_exp1c_concat_fixed,1,D2-016,0.7035811879764131,6.0,16035,11777,0.6101652634861241,0.8307718434236223
raov_aug_exp1c_concat_fixed,1,D2-017,0.6054782481324155,18.957913914774483,11415,22720,0.9053000438020149,0.45484154929577464
raov_aug_exp1c_concat_fixed,1,D2-023,0.0,87.68151243942347,8681,24952,0.0,0.0
raov_aug_exp1c_concat_fixed,1,D2-024,0.0,nan,10107,0,0.0,nan
raov_aug_exp1c_concat_fixed,1,D2-026,0.0,91.7764730419963,10640,29435,0.0,0.0
raov_aug_exp1c_concat_fixed,1,D2-038,0.0,nan,17971,0,0.0,nan
raov_aug_exp1c_spade_fixed,2,D2-005,0.17143258624323754,26.82388854477883,5542,8691,0.2201371346084446,0.1403751006788632
raov_aug_exp1c_spade_fixed,2,D2-015,0.5449760513711248,12.835984574624572,6653,12346,0.7781451976551932,0.41932609752146444
raov_aug_exp1c_spade_fixed,2,D2-016,0.5206134063165211,10.586404696904413,16035,6984,0.3736825693794824,0.8579610538373424
raov_aug_exp1c_spade_fixed,2,D2-017,0.4640966556641963,18.0,11415,4642,0.3264126149802891,0.8026712623869022
raov_aug_exp1c_spade_fixed,2,D2-023,0.0,90.52535895748593,8681,9295,0.0,0.0
raov_aug_exp1c_spade_fixed,2,D2-024,0.0,nan,10107,0,0.0,nan
raov_aug_exp1c_spade_fixed,2,D2-026,0.0,89.75334255614105,10640,14917,0.0,0.0
raov_aug_exp1c_spade_fixed,2,D2-038,0.0,nan,17971,0,0.0,nan
raov_aug_exp2_lam50_fixed,2,D2-005,0.0,83.83967959683486,5542,1966,0.0,0.0
raov_aug_exp2_lam50_fixed,2,D2-015,0.0,nan,6653,0,0.0,nan
raov_aug_exp2_lam50_fixed,2,D2-016,0.0,nan,16035,0,0.0,nan
raov_aug_exp2_lam50_fixed,2,D2-017,0.0,nan,11415,0,0.0,nan
raov_aug_exp2_lam50_fixed,2,D2-023,0.0,94.6560695292551,8681,344,0.0,0.0
raov_aug_exp2_lam50_fixed,2,D2-024,0.0,nan,10107,0,0.0,nan
raov_aug_exp2_lam50_fixed,2,D2-026,0.0,nan,10640,0,0.0,nan
raov_aug_exp2_lam50_fixed,2,D2-038,0.0,nan,17971,0,0.0,nan
raov_aug_exp1c_concat_fixed,2,D2-005,0.048608720976410474,45.00861297019484,5542,32229,0.1656441717791411,0.028483663781066742
raov_aug_exp1c_concat_fixed,2,D2-015,0.5364013939943667,18.00340245620255,6653,14294,0.8444310837216293,0.39303204141597875
raov_aug_exp1c_concat_fixed,2,D2-016,0.2377869334902884,13.35748853639785,16035,2654,0.13857187402556906,0.8372268274302939
raov_aug_exp1c_concat_fixed,2,D2-017,0.5647100898564978,12.0,11415,10954,0.5533070521243977,0.576593025378857
raov_aug_exp1c_concat_fixed,2,D2-023,0.0,93.19132202088346,8681,7972,0.0,0.0
raov_aug_exp1c_concat_fixed,2,D2-024,0.0,nan,10107,0,0.0,nan
raov_aug_exp1c_concat_fixed,2,D2-026,0.0,91.13895978638544,10640,11909,0.0,0.0
raov_aug_exp1c_concat_fixed,2,D2-038,0.3401458539659674,12.833647182309477,17971,4243,0.21022758889321685,0.8904077303794485
raovseg_real_only,3,D2-005,0.006254129963109999,129.07084101152938,5542,186651,0.10844460483579935,0.0032199130998494517
raovseg_real_only,3,D2-015,0.28554791606011065,23.501914815605982,6653,37998,0.9582143393957613,0.16777198799936838
raovseg_real_only,3,D2-016,0.5680947284841371,7.918648874650271,16035,12932,0.5131275335204241,0.6362511599133931
raovseg_real_only,3,D2-017,0.6583901875256309,14.0,11415,15408,0.7735435830048182,0.5730789200415368
raovseg_real_only,3,D2-023,0.0,94.97354367788786,8681,7469,0.0,0.0
raovseg_real_only,3,D2-024,0.0,nan,10107,0,0.0,nan
raovseg_real_only,3,D2-026,0.0,75.23523110320045,10640,16574,0.0,0.0
raovseg_real_only,3,D2-038,0.4873054873054873,12.0,17971,11333,0.3973067720215903,0.6300185299567634
raov_aug_exp2_lam05_fixed,1,D2-005,0.0,85.06558866488135,5542,2083,0.0,0.0
raov_aug_exp2_lam05_fixed,1,D2-015,0.0,90.62603706257578,6653,13843,0.0,0.0
raov_aug_exp2_lam05_fixed,1,D2-016,0.6266202360224414,10.758882779930758,16035,14979,0.6059869036482695,0.6487081914680553
raov_aug_exp2_lam05_fixed,1,D2-017,0.0,79.96684312140393,11415,22265,0.0,0.0
raov_aug_exp2_lam05_fixed,1,D2-023,0.0,91.98602746961559,8681,23420,0.0,0.0
raov_aug_exp2_lam05_fixed,1,D2-024,0.0,50.17161542720017,10107,8414,0.0,0.0
raov_aug_exp2_lam05_fixed,1,D2-026,0.0,84.66738727606179,10640,6523,0.0,0.0
raov_aug_exp2_lam05_fixed,1,D2-038,0.5577448071216617,12.162236636408618,17971,15729,0.5229536475432641,0.5974950727954733
raov_aug_exp1c_concat_fixed,0,D2-005,0.03057373107357806,43.049549921531025,5542,63079,0.18928184770840853,0.01662994023367523
raov_aug_exp1c_concat_fixed,0,D2-015,0.15248947008110647,38.72776781587082,6653,79530,0.9876747332030663,0.08262290959386395
raov_aug_exp1c_concat_fixed,0,D2-016,0.6543773303504847,12.0,16035,17490,0.6840661053944497,0.6271583762149799
raov_aug_exp1c_concat_fixed,0,D2-017,0.31643894761765484,33.23138576707267,11415,60384,0.9951817783618047,0.1881293057763646
raov_aug_exp1c_concat_fixed,0,D2-023,0.0,88.90906871630136,8681,45967,0.0,0.0
raov_aug_exp1c_concat_fixed,0,D2-024,0.0,75.58863092380042,10107,4302,0.0,0.0
raov_aug_exp1c_concat_fixed,0,D2-026,0.0,93.77266791344238,10640,32803,0.0,0.0
raov_aug_exp1c_concat_fixed,0,D2-038,0.5838438779474612,12.252550754842845,17971,15490,0.543542373824495,0.6306003873466752
raov_aug_exp2_fixed,0,D2-005,0.0,124.52134355201922,5542,344066,0.0,0.0
raov_aug_exp2_fixed,0,D2-015,0.3631418384974455,21.982947936980608,6653,20554,0.7425221704494213,0.24034251240634427
raov_aug_exp2_fixed,0,D2-016,0.6226941814001861,14.966378987584138,16035,20503,0.7094480823199252,0.5548456323464859
raov_aug_exp2_fixed,0,D2-017,0.5447620190144858,21.50866104619253,11415,21928,0.7956197985107315,0.41417365924844946
raov_aug_exp2_fixed,0,D2-023,0.0,95.32214852675578,8681,42193,0.0,0.0
raov_aug_exp2_fixed,0,D2-024,0.0,38.67548959184384,10107,7991,0.0,0.0
raov_aug_exp2_fixed,0,D2-026,0.0,68.3791844945648,10640,54024,0.0,0.0
raov_aug_exp2_fixed,0,D2-038,0.5276359267047162,12.0,17971,8661,0.3909632185187246,0.8112227225493592
raov_aug_exp1c_spade_fixed,0,D2-005,0.0,76.98722458916824,5542,85385,0.0,0.0
raov_aug_exp1c_spade_fixed,0,D2-015,0.3901661049590756,16.473163740777675,6653,26579,0.974447617616113,0.24391436848639902
raov_aug_exp1c_spade_fixed,0,D2-016,0.22682207283455047,13.892443989449804,16035,4642,0.14624259432491424,0.505170185264972
raov_aug_exp1c_spade_fixed,0,D2-017,0.5826624862299805,15.090145791210897,11415,12187,0.602365308804205,0.5642077623697382
raov_aug_exp1c_spade_fixed,0,D2-023,0.0,90.11979387399366,8681,19196,0.0,0.0
raov_aug_exp1c_spade_fixed,0,D2-024,0.0,nan,10107,0,0.0,nan
raov_aug_exp1c_spade_fixed,0,D2-026,0.0,88.60875707894886,10640,107000,0.0,0.0
raov_aug_exp1c_spade_fixed,0,D2-038,0.6698564593301436,12.0,17971,17768,0.6660731178009015,0.6736830256641153
raov_aug_exp2_fixed,2,D2-005,0.0,32.57057721318429,5542,956,0.0,0.0
raov_aug_exp2_fixed,2,D2-015,0.18197725284339458,24.002551947657565,6653,5920,0.1719525026303923,0.19324324324324324
raov_aug_exp2_fixed,2,D2-016,0.0,30.397532794620027,16035,6823,0.0,0.0
raov_aug_exp2_fixed,2,D2-017,0.6711129637348895,17.489063802790785,11415,14974,0.7757336837494525,0.5913583544811005
raov_aug_exp2_fixed,2,D2-023,0.0,62.658798264888546,8681,262,0.0,0.0
raov_aug_exp2_fixed,2,D2-024,0.5731402238314681,6.73238442158497,10107,5083,0.4306915998812704,0.8563840251819791
raov_aug_exp2_fixed,2,D2-026,0.0,84.95910412168028,10640,1441,0.0,0.0
raov_aug_exp2_fixed,2,D2-038,0.0,nan,17971,0,0.0,nan
raovseg_real_only,1,D2-005,0.00401670419799706,125.51971956628965,5542,992291,0.36160230963551065,0.0020195688563133195
raovseg_real_only,1,D2-015,0.3276913693199146,18.01700585557989,6653,6463,0.32301217495866524,0.33250812316261796
raovseg_real_only,1,D2-016,0.6667131599135225,6.767569726275452,16035,12643,0.5961958216401622,0.7561496480265759
raovseg_real_only,1,D2-017,0.6028804442130835,27.257787863143847,11415,17400,0.7609286027157249,0.49919540229885057
raovseg_real_only,1,D2-023,0.0,99.35075930566687,8681,1124,0.0,0.0
raovseg_real_only,1,D2-024,0.0,75.8933568148752,10107,2090,0.0,0.0
raovseg_real_only,1,D2-026,0.0,89.58762470341537,10640,12602,0.0,0.0
raovseg_real_only,1,D2-038,0.500780968400817,12.101652779682617,17971,6998,0.34789382894663623,0.8933981137467848
